Title 品名,URL 網頁,objectID,Artist 作者,Artist Inscriptions 作者款識,Colophons 題跋,Seals 印章,Museum 館藏,Museum Object Identifier 收藏號碼,Publications / Citations 出版,Authenticity Concerns 真偽問題
蓬壺仙侶圖,https://digitalarchive.npm.gov.tw/Painting/Content?pid=14347&Dept=P,14347,Liu Songnian 劉松年,(none),"Qianlong emperor 清高宗 (乾隆)
閣擬蓬壺處。人應佺羨行。或來欲談者。蓄問趣方長。丹鼎無須設。仙詮有各蔵。笑他塵世?。漢武及秦皇。戊午仲夏御題。

Wang Shizhen 王世貞
劉松年真筆。王世貞鑒定。","太上皇帝寶
歸政仍訓政
元美
乾隆御覽之寶
乾隆鑑賞
太上皇帝之寶
五福五代堂古稀天子寶
八徵耄念之寶
嘉慶御覽之寶
嘉慶鑑賞
石渠寶笈
三希堂精鑑璽
宜子孫
寶笈三編
宣統御覽之寶","National Palace Museum, Taibei 台北故宮",故畫00009700000,"石渠寶笈三編（延春閣），第三冊，頁1499
故宮書畫錄（卷五），第三冊，頁85
故宮書畫圖錄，第二冊，頁115-116
1.〈傳宋劉松年蓬壺仙侶圖〉，收入陳階晉、賴毓芝主編，《追索浙派》（臺北：國立故宮博物院，2008年初版一刷），頁175。
邱士華，〈宋劉松年蓬壺仙侶圖　軸〉，收入林麗江、何炎泉主編《寫盡繁華-晚明文化人王世貞與他的志業》（臺北：國立故宮博物院，2022.10），頁210-211。",
絲綸圖,https://digitalarchive.npm.gov.tw/Painting/Content?pid=14349&Dept=P,14349,Liu Songnian 劉松年,松年,"Wang Keyu 汪砢玉
長松覆前。遠山聳後。庭檻綴花石殊幽曠。簷間一姬拗輪。一媮治絲。一侍兒捧茶。不襦而露纖紅。故北妝也。筆法細潤有生氣。標題作馬遠。萬曆壬子秋。余在白下得之潤州吳汝廷。歷三十餘年。無有知其非遠者。今崇禎壬午(1642)秋付裝潢。淵兒於松身識其款曰松年。蠅頭小楷。雜鱗紋墨漬間。不復可辨。有如當時稱之為暗門劉者。今一旦豁然。恍睹其人。可勝撫掌稱快。檇李汪砢玉源崑甫。題於韻石齋。鈐印二。玉水。砢玉之印。","砢玉之印
玉水
嘉慶御覽之寶
嘉慶鑑賞
石渠寶笈
三希堂精鑑璽
宜子孫
寶笈三編
宣統御覽之寶
鼎揆
冰霞閣
神品
趙氏珍藏
忠魁士裔
石菴鑑賞之印
愛荊私記
□功
汪氏珍藏","National Palace Museum, Taibei 台北故宮",故畫00009800000,"石渠寶笈三編（延春閣），第三冊，頁1500
故宮書畫錄（卷五），第三冊，頁87-88
明汪砢玉珊瑚網
故宮書畫圖錄，第二冊，頁119-120",
畫羅漢,https://digitalarchive.npm.gov.tw/Painting/Content?pid=72&Dept=P,72,Liu Songnian 劉松年,開禧丁卯（西元一二０七年）劉松年畫,"Qianlong emperor 清高宗 (乾隆)
倚菩提樹。俯視伊尼。如示妙偈。知乎不知。樹頭結果。其果纍垂。猨猴登樹。摘果以嬉。童子攓袂。仰而承之。有色有象。無意無為。細入毫髮。匪夷所思。金剛四句。一幅全披。合掌欲詢。應真伊誰。辛卯辛正御贊。","乾隆御覽之寶
乾隆鑑賞
石渠寶笈
三希堂精鑑璽
宜子孫
石渠定鑑
寶笈重編
乾清宮鑑藏寶
太上皇帝
嘉慶御覽之寶
宣統御覽之寶
宣統鑑賞
無逸齋精鑑璽
皇姊圖書
內府書畫
禮部評驗書畫關防（半印）","National Palace Museum, Taibei 台北故宮",故畫00009900000,"秘殿珠林續編（乾清宮），頁76
故宮書畫錄（卷五），第三冊，頁88-89
故宮書畫圖錄，第二冊，頁103-104
1.李玉珉，〈宋劉松年畫羅漢〉，收入王耀庭、許郭璜、陳階晉編，《故宮書畫菁華特輯》（臺北：國立故宮博物院，1987年初版，2001年再版），頁112-113。 2.李玉珉，〈宋劉松年畫羅漢〉，收入李玉珉主編，《羅漢畫》（臺北：國立故宮博物院，1990年初版），頁74-75。 3.李玉珉，〈宋劉松年畫羅漢〉，《故宮文物月刊》，第100期（1991年7月），頁75。 4.《劉松年畫羅漢》（台北：國立故宮博物院，1980）。 5.楊美莉，《劉松年畫羅漢三軸之研究－兼論宋人之羅漢信仰－》，國立台灣大學歷史學研究所中國藝術史組碩士論文，1982年。 6.梁婷育，《劉松年《羅漢》三軸畫史意義之研究─兼論其宗教意涵與圖像表現》，南華大學美學與藝術管理研究所碩士論文，2007年。 7.李玉珉，〈畫羅漢〉，收入何傳馨主編，《文藝紹興：南宋藝術與文化‧書畫卷》（臺北：國立故宮博物院，2010年十月初版一刷），頁375。 8.吳誦芬；〈明宣宗戲猿圖軸介紹〉，《故宮文物月刊》，第351期（2012年6月份），頁106-113。
何傳馨，〈宋劉松年畫羅漢　軸〉，收入《文藝紹興-南宋藝術與文化‧書畫卷》（臺北：國立故宮博物院，2010.10），頁246-247、375。
國立故宮博物院編輯委員會，〈宋劉松年畫羅漢　軸〉，收入《故宮書畫菁華特輯》（臺北：國立故宮博物院，1996.10），頁112-113。",
畫盧仝烹茶圖,https://digitalarchive.npm.gov.tw/Painting/Content?pid=1334&Dept=P,1334,Qian Xuan 錢選,(none),"Qianlong emperor 清高宗 (乾隆)
紗帽籠頭卻白衣。綠天消夏汗無揮。劉（松年）圖牟（益）倣事權置。（石渠舊有牟益茅舍閒吟圖卷。後復得劉松年烹茶圖卷。取以比較。邱壑位置。與牟卷相同。蓋劉先有此圖。而牟仿為之。然兩卷均未字自標圖名。劉卷則唐寅跋為玉川子烹茶圖。得存其真。而牟卷則收藏家未考。率題為茅舍閒吟圖。向各題詩識其原委。并同弆一篋。使彼此互相印證云。）孟（簡）贈盧（仝）烹韻庶幾。（盧仝有謝孟諫議寄新茶詩。又有常州孟諫議座上。聞韓愈貶國子博士詩。而未著何名。按唐書。孟簡。字幾道。工詩。元和中官諫議大夫。出為常州刺使。以時代官爵考之。當是孟簡也。）卷易幀斯奚不可。（劉松年牟益兩圖。俱橫卷。而此錢選盧仝烹茶圖乃作立幀。文人揮翰。縱橫惟意。固無不可也。）詩傳畫亦豈為非。隱而狂者應無禍。何宿王涯自惹譏。乾隆乙巳（1785）仲秋月。御題。","古希天子之寶
猶日孜孜
舜舉
乾隆御覽之寶
乾隆鑑賞
石渠寶笈
三希堂精鑑璽
宜子孫
石渠定鑑
寶笈重編
重華宮鑑藏寶
古希天子
八徵耄念之寶
嘉慶御覽之寶
宣統御覽之寶
宣統鑑賞
無逸齋精鑑璽","National Palace Museum, Taibei 台北故宮",故畫00013000000,"石渠寶笈續編（重華宮），第三冊，頁1541
故宮書畫錄（卷五），第三冊，頁109
故宮書畫圖錄，第二冊，頁243-244
1.傅申，〈傳錢選畫〈盧仝烹茶圖〉應是丁雲鵬所作 — 故宮藏畫鑑別研究之一〉，《故宮文物月刊》，第311期（2009年2月），頁46-57。",
畫荔枝,https://digitalarchive.npm.gov.tw/Painting/Content?pid=14803&Dept=P,14803,Qian Xuan 錢選,吳興錢選舜舉製,"Mou Yan 牟巘
紅棉花底聽春歌。我為東坡織絳羅。一百餘年前後事。詩思畫筆等閒過。陵陽牟獻之題。","舜舉
巘
嘉慶御覽之寶
嘉慶鑑賞
石渠寶笈
三希堂精鑑璽
宜子孫
寶笈三編
宣統御覽之寶
速八哈赤不花
致和齋
抑齋居士
婁東畢瀧澗飛氏藏","National Palace Museum, Taibei 台北故宮",故畫00013100000,"石渠寶笈三編（延春閣），第四冊，頁1528
故宮書畫錄（卷五），第三冊，頁109
故宮書畫圖錄，第二冊，頁245-246",
秋瓜圖,https://digitalarchive.npm.gov.tw/Painting/Content?pid=1232&Dept=P,1232,Qian Xuan 錢選,金流石爍汗如雨。削入冰盤氣似秋。寫向小窗醒醉目。東陵閑說故秦侯。吳興錢選舜舉。,(none),"希世有
舜舉印章
舜舉
錢選之印
乾隆御覽之寶
乾隆鑑賞
石渠寶笈
三希堂精鑑璽
宜子孫
御書房鑑藏寶
嘉慶御覽之寶
宣統御覽之寶","National Palace Museum, Taibei 台北故宮",故畫00013200000,"石渠寶笈初編（御書房），下冊，頁1106
故宮書畫錄（卷五），第三冊，頁112
故宮書畫圖錄，第二冊，頁251-252
1.馬孟晶，〈(原題宋)錢選秋瓜圖〉，收入石守謙、葛婉章主編，《大汗的世紀:蒙元時代的多元文化與藝術》（臺北：國立故宮博物院，2001年初版），頁298-299。 2.馬孟晶，〈大汗的世紀　錢選秋瓜圖〉，《故宮文物月刊》，第223期（2001年10月），頁16-17。 3.王靜靈，〈〈秋瓜圖〉與錢選的職業畫〉，《故宮文物月刊》，第267期（2005年6月），頁4-15。",
三蔬圖,https://digitalarchive.npm.gov.tw/Painting/Content?pid=13970&Dept=P,13970,Qian Xuan 錢選,(none),"Gao Shiqi 高士奇
河渚西邊舊草堂。為園半畝菜花香。多年卻飽官厨味。操履平生守未忘。雪壓書牕齩菜根。逢時方丈厭羔豚。萬錢尚道箸難下。不念田間有禮昏。柘湖奉母樂閒居。插竹編籬課種蔬。露飽霜酣滋味好。加餐不覓養生書。余園蔬香。得錢舜舉三蔬圖。甚愜素懷。且落筆寫生。迥出畫家窠臼。因題三詩。比來日食一菜。自甘此。不足為外人道耳。康熙己卯秋八月五日。書於柘上簡靜齋。江村高士奇。竹窗。
趙文敏題錢舜舉茄菜二圖云。天上歸來兩鬢皤。山園近日竟如何。年年五月黃梅雨。老瓦盆中此味多。歸老林泉無外慕。盤中野菜飯黃糧。交遊來徃休相笑。肉味何如此味長。至治元年五月廿二日。公謝事歸來所作也。與余意有合。故書於此。康熙己卯八月十九日。愁霖初霽。六合清朗。抱瓮翁奇再記。

Qianlong emperor 清高宗 (乾隆)
留下尋那見草堂。三蔬展尚欲生香。熾然一切有為法。了識何曾者箇忘。 離披畦畔復籬根。淡味端知勝碩豚。偶憶湖西親所見。綠含烟甲濕黄昏。玉堂侍從暫家居。博古餘間學圃蔬。此意足驚俗耳目。不堪兼致絕交書。乾隆甲戌（西元一七五四年）孟春。御題。即用高士奇韻。
秋圃真香。
西湖本有讀書堂。行篋携來翰墨香。原係舊臣家弃物。豈真操履守毋忘。瓜菜紫茄各具根。了當淡味勝雞豚。竹窗重舉王孫句。為利頗知令智昏。勝處旬朝駐蹕居。霅溪即景玩三蔬。可知學圃佐農務。得句還教幀裏書。庚子（西元一七八０年）暮春。叠甲戌（西元一七五四年）韻再題。","士奇
高澹人
乾隆宸翰
琴書道趣生
會心不遠
德充符
乾隆御覽之寶
乾隆鑑賞
石渠寶笈
三希堂精鑑璽
宜子孫
石渠定鑑
寶笈重編
古希天子
五福五代堂古稀天子寶
八徵耄念之寶
嘉慶御覽之寶
宣統御覽之寶
宣統鑑賞
無逸齋精鑑璽
抱瓮翁","National Palace Museum, Taibei 台北故宮",故畫00013300000,"石渠寶笈續編（懋勤殿），第七冊，頁3552
故宮書畫錄（卷五），第三冊，頁111
故宮書畫圖錄，第二冊，頁249-250
邱士華，〈宋錢選三蔬圖　軸〉，收入《行篋隨行-乾隆南巡行李箱中的書畫》（臺北：國立故宮博物院，2017.03），頁108-111。",
春山瑞松,https://digitalarchive.npm.gov.tw/Painting/Content?pid=1245&Dept=P,1245,Mi Fu 米芾,(none),"Zhaozong emperor 宋高宗 (趙構)
天鈞瑞木。得自嶔岑。枝蟠數萬。榦不倍尋。怒騰龍勢。靜奏琴音。凌寒鬱茂。當暑陰森。封以腴壤。邇以碧潯。越千萬年。以慰我心。","太上皇帝之寶
御書之寶
乾隆御覽之寶
乾隆鑑賞
石渠寶笈
三希堂精鑑璽
宜子孫
御書房鑑藏寶
嘉慶御覽之寶
宣統御覽之寶
宣統鑑賞
無逸齋精鑑璽
興霞殿寶
殿寶（半印）
玉堂柯氏九思私印
黃琳
（另半印不可識）","National Palace Museum, Taibei 台北故宮",故畫00013700000,"石渠寶笈初編（御書房），下冊，頁1152
故宮書畫錄（卷五），第三冊，頁63
故宮書畫圖錄，第一冊，頁281-282
1.〈宋米芾春山瑞松〉，收入國立故宮博物院編輯委員會編，《春景山水畫特展圖錄》（臺北：國立故宮博物院，1987年一月初版），頁46。",
華燈侍宴圖,https://digitalarchive.npm.gov.tw/Painting/Content?pid=1445&Dept=P,1445,Ma Yuan 馬遠,(none),"Yang Meizi 楊妹子
朝回中使傳宣命。父子同班侍宴榮。酒捧倪觴祈景福。樂聞漢殿動驩聲。寶瓶梅蕊千枝綻。玉柵華燈萬盞明。人道催詩須待雨。片雲閣雨果詩成。

Qianlong emperor 清高宗 (乾隆)
近得馬遠華燈侍宴圖軸。憶舊入石渠寶笈中有相似者。檢閱此幅。籤題宋人華燈侍宴圖。畫景題句。無不吻合。惟畫中階墀部位。微有參差。而筆意深厚。同出宋時院本。觀題句中有父子同班侍宴榮之句。蓋當時勑力作此圖。以侈一時盛事。或一稿兩幅。分賜侍宴者之父子耳。新得者。則有臣馬遠三字款。在左側樹石之間。逼近邊幅。幸不裁截。此幅無款。想亦署款幀邊。屢經裝裱。致被損壞割去。今將兩幅同弆石渠。此幅因無款。仍標宋人以存其舊。乾隆癸卯冬。御筆。
華燈侍宴圖。內府有兩本。此為石渠舊藏。已入前編者。款經裁去。標題宋人。其一則近年所得。入續編者。有馬遠款。兩幀畫筆均沈厚。絹素亦古。雖階墀部位。微有參差。而軒楹人物。大局悉同。且上方題句。字體亦如出一手。或當時一稿兩幅。分賜侍宴父子二人。以誌榮遇。亦不必求其人以實之。當續得馬畫時。已兩相印證。各為識語。分題兩幀首矣。但前編所載者。貯御書房。入續編者。貯乾清宮。溯此圖流傳七百餘年。先後同入內府。邀鑒賞。真可謂翰墨緣。而分貯各誌。合而未合。仍未得為延津之遇。因命同弆一篋。貯乾清宮。以徵兩美之必合耳。乾隆六十一年丙辰小春月御識。臣董誥奉勑敬書。","（一印漫漶不可識）
古稀天子之寶
猶日孜孜
臣
誥
乾隆御覽之寶
乾隆鑑賞
石渠寶笈
三希堂精鑑璽
宜子孫
御書房鑑藏寶
石渠繼鑑
五福五代堂古稀天子寶
八徵耄念之寶
太上皇帝之寶
嘉慶御覽之寶
宣統御覽之寶
宣統鑑賞
無逸齋精鑑璽
棠村審定
蕉林","National Palace Museum, Taibei 台北故宮",故畫00017400000,"石渠寶笈初編（御書房），下冊，頁1151
故宮書畫錄（卷五），第三冊，頁96-97
故宮書畫圖錄，第二冊，頁163
1.〈宋馬遠華燈侍宴圖〉，收入陳階晉、賴毓芝主編，《追索浙派》（臺北：國立故宮博物院，2008年初版一刷），頁165。 2.林莉娜，〈華燈侍宴圖〉，收入何傳馨主編，《文藝紹興：南宋藝術與文化‧書畫卷》（臺北：國立故宮博物院，2010年十月初版一刷），頁382-383。 3.廖堯震，〈《石渠》實用指南之二　解讀馬遠〈華燈侍宴〉〉，《典藏古美術》，第208期(2010年01月)，頁92-93。
何傳馨，〈宋馬遠華燈侍宴圖　軸〉，收入《文藝紹興-南宋藝術與文化‧書畫卷》（臺北：國立故宮博物院，2010.10），頁280-281、382-383。
國立故宮博物院編輯委員會，〈宋馬遠華燈侍宴圖　軸〉，收入《故宮書畫菁華特輯》（臺北：國立故宮博物院，1996.10），頁120-121。",
窠木竹石,https://digitalarchive.npm.gov.tw/Painting/Content?pid=477&Dept=P,477,Zhao Mengfu 趙孟頫,子昂,"Zhang Zhongshou 張仲壽
此竹石窠木。子昂率易之作也。然而天真蕭散之態。復非庸史所能造也。疇齋。

Ni Zan 倪瓚
趙榮祿書畫之妙。殆是夙成。早年落筆便為合作。歲月既久。愈老愈奇耳。宋君仲溫。攜此圖相示。因題。乙巳三月廿□日。倪瓚觀。","趙氏子昂
疇齋
乾隆御覽之寶
御書房鑑藏寶
石渠寶笈
嘉慶御覽之寶
宣統御覽之寶
司印（半印）
荋
虎（圓印）
商丘宋犖審定真跡
天水郡收藏書畫印記","National Palace Museum, Taibei 台北故宮",故畫00021600000,"石渠寶笈初編（御書房），下冊，頁1139
故宮書畫錄（卷五），第三冊，頁161
故宮書畫圖錄，第四冊，頁57-58
1.蔣復璁，〈倪瓚題趙孟頫窠木竹石圖〉，收入國立故宮博物院編，《元四大家》（臺北：國立故宮博物院，1975年初版，1976年二版，1984年三版），頁63。 2.李玉珉，〈「天子之寶 — 台北國立故宮博物院的收藏」展品系列(四) — 繪畫〉，《故宮文物月刊》，第247期（2003年10月），頁26。",
臨黃筌蓮塘圖,https://digitalarchive.npm.gov.tw/Painting/Content?pid=994&Dept=P,994,Zhao Mengfu 趙孟頫,(none),"Qianlong emperor 清高宗 (乾隆)
滿天秋意老蓮塘。枯葉低垂獨鳥翔。法眼設非題自董。繪神誰識本從黃。心疑野侶雲猶外。興寓風人水一方。盈尺幀間淡且遠。無邊軒際颯生涼。乙酉秋御題。
風動鯉魚波滿塘。枯荷葉上獨禽翔。別傳秋意斯臨趙。盡得風流彼勝黃。藻荇蕭踈筆幾點。水天幼渺尺盈方。欣於五合同書法小幅旋成趁爽涼。展閱此幀。愛其筆意瀟落。輒仿為之。並用舊題韻題什。因書此本圖中。以識所自。庚寅新秋御筆。

Dong Qichang 董其昌
趙文敏臨黃筌蓮塘圖。董其昌題。","幾暇怡情
會心不遠
乾隆宸翰
董其昌印
趙氏子昂
乾隆御覽之寶
乾隆鑑賞
石渠寶笈
三希堂精鑑璽
宜子孫
石渠定鑑
寶笈重編
寧壽宮續入石渠寶笈
樂壽堂鑑藏寶
古希天子
五福五代堂古稀天子寶
壽
八徵耄念之寶
宣統御覽之寶
宣統鑑賞
無逸齋精鑑璽","National Palace Museum, Taibei 台北故宮",故畫00021700000,"石渠寶笈續編（寧壽宮），第五冊，頁2751
故宮書畫錄（卷五），第三冊，頁162
故宮書畫圖錄，第四冊，頁59-60",After Huang Quan 臨黃筌
吹簫士女圖,https://digitalarchive.npm.gov.tw/Painting/Content?pid=478&Dept=P,478,Zhao Mengfu 趙孟頫,(none),"Song Lian 宋濂
玉簫輕岸柔荑指。鳳鳥聲中天似洗。蝴蝶紛飛茉莉風。蜻蜓亂點芙蓉水。膩音凝花團粉紅。蛛巢墮鬢雲蒙朧。臙唇濃眉照秋綠。腰身騕裊如游龍。蕭郎不來宮水咽。時將幽素題蕉葉。巫雲巫雨斷無蹤。翩翩桂花落寒月。鮫衣紅透猩猩血。曲中不見山石裂。右吹簫美人圖。吳興趙孟頫作也。予為題。老不能書。呈醜。金華宋濂。

Qianlong emperor 清高宗 (乾隆)
琯玉欲吹意有指。六么俗調一以洗。石床夜靜更無人。古月掛天碧如水。緱山那憶桃花紅。隋家翠羽空蔥朧。荒唐慢擬乘鶴鳳。參差底說瞰魚龍。醰醰泠泠幽復咽。越羅秋衫薄於葉。蘭膏墜髪顰臉波。黛色連山蹙眉月。紅玉雙痕幾點血。片片停雲為誰裂。乾隆丙子春日御題。用宋濂韻。

Wang Youdun 汪由敦
截舫難分蕭與指。天真自愛鉛華洗。一聲吹徹轉悠揚。轆轤曉汲銅缾水。羅袿半掩茜裏紅。花翹不動影蛾朧。何處飛來丹穴鳳。忽聽吟出碧湫龍。不教倚曲遲還咽。凉颸輕颭㯶櫚葉。脂脣微蹙調頻移。二十四橋紈扇月。霜筠慢染湘江血。冉冉銀雲剨穿裂。臣汪由敦。

Jiang Pu 蔣溥
紫簫冷冷吹應指。碧欄十二秋如洗。數聲鸞鳳迴穿雲。一朵荷蕖鮮照水。羅衣摺摺淡不紅。仙人住處烟朦朧。曲終倘似江上瑟。出聽豈有波間龍。優柔溫潤響還咽。瑤階落遍梧桐葉。翠縠停搖扇柄風。銀蟾半瀉簾鈎月。寒倚朱唇殷若血。坐吹不動聲疑裂。臣蔣溥。

Jie Fu 介福
六孔噏噓調十指。譬張綠綺箏琶洗。伊人獨坐夜臨秋。萬籟無聲寂於水。珍珠露濕芙蕖紅。欄干曲曲雲朧朧。聲清欲學天際鳳。聲婉亦似泓中龍。丁丁漏點銅壺咽。稍覺涼颸動林葉。吹簫之身若輕烟。吹簫之心如皎月。羅衫不拭臙脂血。玉聲川空鐵皆裂。臣介福。

Yu Minzhong 于敏中
紫瓊𤫩瓏音繞指。簟冷匡牀露華洗。臨風宛轉曲乍成。雲外瀟湘隔秋水。薄羅單衫杏子紅。滿身花霧香朦朧。幽情如訴難仿彿。空中下鳳波吟龍。俗耳箏琶漫喧咽。不須鵝管調銀葉。人間何處有飛瓊。十二瑤臺自明月。昭華斑斑凝若血。一聲吹徹雲峰裂。臣于敏中。

Guan Bao 觀保
沈寥天空斗西指。銀河倒流清露洗。一聲吹徹玉參差。冷韻霏微靜秋水。石闌干畔隱輕紅。冰輪高碾光朦朧。恍疑雙成乘鳳至。䰀鬌青髻低蟠龍。閒階虫語共幽咽。飄飄響答檐梧葉。空遲露坐悄無人。相暎清輝如滿月。湘管千年痕漬血。碧雲穿破蕉心裂。臣觀保。

Qian Rucheng 錢汝誠
鸞鳴愔愔聲在指。空遲露華淨如洗。含情意與秋宵深。河漢盈盈澹雲水。珠翹亸處燈影紅。瓊枝綽約光朧朧。數峰何處隔縹緲。水底忽聽吟蛟龍。暗泉繞階流復咽。簾外初聞響寒葉。匡床漏靜凝芳塵。幾曲闌干一輪月。朱脣微暈猩紅血。吹盡梁塵山竹裂。臣錢汝誠。","景濂（存半）
□河之□
（一印不可辨）
精玩
比德
朗潤
臣由敦
敬書
臣溥
臣介福
臣中
臣觀保
珥
蕭
乾隆御覽之寶
乾隆鑑賞
石渠寶笈
三希堂精鑑璽
宜子孫
石渠繼鑑
御書房鑑藏寶
古希天子
八徵耄念之寶
嘉慶御覽之寶
宣統御覽之寶
宣統鑑賞
無逸齋精鑑璽","National Palace Museum, Taibei 台北故宮",故畫00021900000,"石渠寶笈初編（御書房），下冊，頁1105
故宮書畫錄（卷五），第三冊，頁163
故宮書畫圖錄，第四冊，頁63-64
1.馮明珠，〈趙孟頫吹簫士女圖〉，收入馮明珠主編，《乾隆皇帝的文化事業》（臺北：國立故宮博物院，2002年初版一刷），頁82。 2.劉芳如，〈元趙孟頫吹簫仕女圖〉，收入國立故宮博物院編輯委員會編，《仕女畫之美》（臺北：國立故宮博物院，1988年四月初版），頁82。 3.馮明珠，〈乾隆皇帝和他的文化顧問們〉，《故宮文物月刊》，第235期（2002年10月），頁62。
何炎泉，〈元趙孟頫吹簫士女圖　軸〉，收入劉芳如主編《她-女性形象與才藝》（臺北：國立故宮博物院，2020.10），頁72-73、253-254。",
竹石,https://digitalarchive.npm.gov.tw/Painting/Content?pid=483&Dept=P,483,Guan Daosheng 管道昇,(none),"Dong Qichang 董其昌
管魏國寫竹。自文湖州一派。勁挺有骨。與宋廣平作賦正相反。或曰吳興借之為名。董其昌題。","太史氏
董其昌印
魏國夫人趙管
乾隆御覽之寶
乾隆鑑賞
石渠寶笈
三希堂精鑑璽
宜子孫
乾隆御賞之寶
御書房鑑藏寶
嘉慶御覽之寶
宣統御覽之寶
宣統鑑賞
無逸齋精鑑璽
商丘宋犖審定真跡","National Palace Museum, Taibei 台北故宮",故畫00022000000,"石渠寶笈初編（御書房），下冊，頁1105
故宮書畫錄（卷五），第三冊，頁163-164
故宮書畫圖錄，第四冊，頁93-94
1.陳葆真，〈管道昇和他的竹石圖〉，《故宮季刊》，第十一卷第四期（1977年夏），頁51-84。",
江山放艇圖,https://digitalarchive.npm.gov.tw/Painting/Content?pid=497&Dept=P,497,Zhao Yong 趙雍,(none),"Dong Qichang 董其昌
趙仲穆江山放艇圖真跡。董其昌題。","宗伯學士
董玄宰
仲穆","National Palace Museum, Taibei 台北故宮",故畫00022100000,"故宮書畫錄（卷五），第三冊，頁165
故宮書畫圖錄，第四冊，頁201-202
〈元趙雍江山放艇圖　軸〉，收入李玉珉、何炎泉、邱士華主編《妙合神離-董其昌書畫特展》（臺北：國立故宮博物院，2016.01），頁198-199、392。",
採菱圖,https://digitalarchive.npm.gov.tw/Painting/Content?pid=494&Dept=P,494,Zhao Yong 趙雍,至正二年（西元一三四二年）十月望日。仲穆畫。,"Qianlong emperor 清高宗 (乾隆)
窈窕吳孃倭墮裝。採菱唱出水風涼。峰容波態似相識。憶在石湖葄碓旁。己卯夏御題。
元趙雍採菱圖","仲穆
乾隆御筆
乾隆宸翰
乾隆御覽之寶
乾隆鑑賞
石渠寶笈
三希堂精鑑璽
宜子孫
御書房鑑藏寶
石渠繼鑑
嘉慶御覽之寶
宣統御覽之寶
吳廷之印
蒼巖子
棠邨審定
瞻袞堂
南昌袁氏家藏珍玩子孫永保","National Palace Museum, Taibei 台北故宮",故畫00022300000,"石渠寶笈初編（御書房），下冊，頁1105
故宮書畫錄（卷五），第三冊，頁165
故宮書畫圖錄，第四冊，頁197-198
1.何傳馨，〈元趙雍採菱圖〉，收入何傳馨、許郭璜編，《夏景山水畫特展圖錄》（臺北：國立故宮博物院，1991年七月初版），頁96-97。",
春郊遊騎圖,https://digitalarchive.npm.gov.tw/Painting/Content?pid=500&Dept=P,500,Zhao Yong 趙雍,仲穆,"Dong Qichang 董其昌
趙仲穆此圖乍披之以為子昂學六朝人筆。若不著款印。便足亂真。第非勝父耳。董其昌題。","仲穆
太史氏
董其昌氏
乾隆御覽之寶
養心殿鑑藏寶
石渠寶笈
嘉慶御覽之寶
宣統御覽之寶
蒼巖子
蕉林","National Palace Museum, Taibei 台北故宮",故畫00022400000,"石渠寶笈初編（養心殿），上冊，頁659
故宮書畫錄（卷五），第三冊，頁165
故宮書畫圖錄，第四冊，頁205-206
1.童文娥，〈趙雍春郊遊騎圖〉，收入石守謙、葛婉章主編，《大汗的世紀:蒙元時代的多元文化與藝術》（臺北：國立故宮博物院，2001年初版），頁306。 2.林柏亭、張華芝，〈元趙雍春郊遊騎圖〉，收入林柏亭、張華芝編，《畫馬名品特展圖錄》（臺北：國立故宮博物院，1990年元月初版），頁93。
陳韻如，〈元趙雍春郊遊騎圖　軸〉，收入《公主的雅集-蒙元皇室與書畫鑑藏文化特展》（臺北：國立故宮博物院，2016.10），頁164-165、286-287。",
